timestamp,vehicle_id,label,route_id,trip_id,latitude,longitude,bearing,current_stop_sequence,stop_id
1457862799,14297,,SCCM-3,1473456-20160222-20161224,52.554028,-0.220387,282.0,9,2041
1457862787,14301,,SCCM-5,1475009-20160222-20161224,52.15232,-0.411738,180.0,24,2745
1457862786,14308,,SCCM-6,1476181-20160222-20161224,52.552505,-0.249137,186.0,6,2189
1457862803,14309,,SCCM-5,1475559-20160222-20161224,52.56336,-0.242945,216.0,19,1684
1457862803,14310,,SCCM-5,1475340-20160222-20161224,52.552223,-0.226805,342.0,22,31245
1457862786,14317,,SCCM-3,1473258-20160222-20161224,52.572063,-0.295858,312.0,0,
1457862785,14322,,SCCM-3,1473455-20160222-20161224,52.587784,-0.266392,12.0,26,2052
1457862788,14325,,SCCM-2,1471932-20160222-20161224,52.573006,-0.262695,96.0,23,6038
1457862784,14332,,SCCM-10,1469238-20160222-20161224,52.129635,-0.461612,0.0,19,167
1457862799,14335,,SCCM-4,1474055-20160222-20161224,52.13586,-0.466458,78.0,2,2741
1457862787,14337,,SCCM-8,1477509-20160222-20161224,52.133705,-0.491722,348.0,7,3118
1457862798,14357,,SCCM-99,1477563-20160222-20161224,52.02983,-0.619142,294.0,4,3759
1457862795,14363,,SCCM-X5,1480420-20160222-20161224,52.13748,-0.471663,0.0,12,36827
1457862798,14368,,SCCM-X5,1481005-20160222-20161224,52.054314,-0.701682,264.0,8,21597
1457862793,14370,,SCCM-X5,1480170-20160222-20161224,52.21074,0.109545,288.0,3,626
1457862800,14372,,SCCM-X5,1480562-20160222-20161224,52.137676,-0.47219,96.0,1,25509
1457862786,14373,,SCCM-X5,1481007-20160222-20161224,51.754223,-1.26244,108.0,8,3795
1457862803,14374,,SCCM-X5,1480902-20160222-20161224,51.989326,-0.983767,252.0,0,
1457862791,14375,,SCCM-X5,1480419-20160222-20161224,52.061035,-0.69998,180.0,2,729
1457862784,14377,,SCCM-X5,1480561-20160222-20161224,52.214466,0.077187,102.0,11,2452
1457862788,14378,,SCCM-X5,1480418-20160222-20161224,52.035004,-0.773348,324.0,3,4244
1457862797,14386,,SCCM-B,1478425-20160222-20161224,52.30122,-0.08535,0.0,63,689
1457862786,14388,,SCCM-B,1478422-20160222-20161224,52.32712,-0.07694,108.0,40,2268
